Prediction,Actual,Explanation
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Marital Status, -0.13, Work Phone, Car Ownership, Phone, Occupation, Family Size."
Denied,Denied,"This application was denied due to Housing Type, -1.62, Email, -0.13, Marital Status, Work Phone, Car Ownership, Occupation, Phone."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Housing Type, Employment Duration (Days), Work Phone, -0.57, -0.13, Car Ownership, Phone, -0.15, -0.20."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Housing Type, -0.57, Work Phone, Car Ownership, Education Level, -0.20, -0.15."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Housing Type, -0.57, Work Phone, Car Ownership, Education Level, -0.20, -0.15, -0.77."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Housing Type, -0.57, Work Phone, Car Ownership, -0.20, Education Level, -0.15."
Denied,Denied,"This application was denied due to -1.62, Income Category, Email, Housing Type, -0.57, Work Phone, Car Ownership, -0.15, -0.20, Education Level, -0.77."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Income Category, -0.57, Work Phone, Car Ownership, Education Level, -0.20, -0.15, -0.77."
Denied,Denied,"This application was denied due to Housing Type, Email, -1.62, Income Category, -0.57, Car Ownership, Work Phone, -0.20, Education Level, -0.15."
Denied,Denied,"This application was denied due to -1.62, Housing Type, Income Category, Email, Work Phone, -0.57, Car Ownership, Education Level, -0.15, -0.20."
Denied,Denied,"This application was denied due to -1.62, Income Category, Email, Housing Type, Work Phone, -0.57, Car Ownership, Education Level, -0.15, -0.20, -0.77."
Denied,Denied,"This application was denied due to -1.62, Income Category, Email, Employment Duration (Days), Housing Type, Marital Status, Work Phone, Car Ownership."
Denied,Denied,"This application was denied due to -1.62, Income Category, Email, Employment Duration (Days), Marital Status, Housing Type, Work Phone, Car Ownership."
Denied,Denied,"This application was denied due to -1.62, Income Category, Email, Employment Duration (Days), Housing Type, Marital Status, Work Phone, Car Ownership, Family Size."
Denied,Denied,"This application was denied due to -1.62, Income Category, Email, Employment Duration (Days), Housing Type, Marital Status, Work Phone, Car Ownership, Family Size."
Denied,Denied,"This application was denied due to Email, -1.62, Income Category, Employment Duration (Days), Marital Status, Housing Type, Work Phone, Car Ownership, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Employment Duration (Days), Marital Status, Housing Type, Work Phone, Car Ownership, Family Size."
Denied,Denied,"This application was denied due to Email, -1.62, Employment Duration (Days), Income Category, Housing Type, Marital Status, Car Ownership, Work Phone, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Work Phone, -0.57, Car Ownership, -0.20."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.57, Work Phone, Car Ownership, -0.20."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.57, Work Phone, Car Ownership, -0.20."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.57, Work Phone, Car Ownership, -0.20."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Work Phone, -0.57, Car Ownership, -0.20."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Work Phone, -0.57, Car Ownership, -0.20."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Work Phone, -0.57, Car Ownership, -0.20."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.57, Work Phone, Car Ownership, -0.20."
Denied,Denied,"This application was denied due to Email, -1.62, Housing Type, -0.57, Car Ownership, Work Phone, -0.20."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.57, Work Phone, Car Ownership, -0.20."
Denied,Denied,"This application was denied due to Email, -1.62, Housing Type, Work Phone, -0.57, Car Ownership, -0.20."
Denied,Denied,"This application was denied due to Housing Type, -1.62, Email, Work Phone, Phone, Family Size, Education Level, -0.15."
Denied,Denied,"This application was denied due to Email, -1.62, Housing Type, Work Phone, Phone, Education Level, -0.15, Family Size."
Denied,Denied,"This application was denied due to Email, -1.62, Housing Type, Work Phone, Education Level, Phone, Family Size, -0.15."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Employment Duration (Days), Income Category, Work Phone, Car Ownership."
Denied,Denied,"This application was denied due to -1.62, Email, Employment Duration (Days), Income Category, Housing Type, Work Phone, -0.57, Car Ownership, -0.82, -0.20, -0.15."
Denied,Denied,"This application was denied due to -1.62, Employment Duration (Days), Income Category, Email, Housing Type, Work Phone, Car Ownership, Family Size."
Denied,Denied,"This application was denied due to Email, -1.62, Income Category, Employment Duration (Days), Housing Type, Work Phone, Car Ownership, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Employment Duration (Days), Housing Type, Work Phone, Car Ownership, Family Size."
Denied,Denied,"This application was denied due to Email, -1.62, Income Category, Housing Type, Employment Duration (Days), Work Phone, Car Ownership."
Denied,Denied,"This application was denied due to -1.62, Housing Type, Email, Income Category, Employment Duration (Days), Work Phone, Car Ownership, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Employment Duration (Days), Income Category, Housing Type, Work Phone, Car Ownership, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.82, -0.57, Education Level, -0.15, -0.20, Annual Income."
Denied,Denied,"This application was denied due to Email, -1.62, Income Category, Employment Duration (Days), Housing Type, Car Ownership, Work Phone."
Denied,Denied,"This application was denied due to -1.62, Housing Type, Email, -0.57, -0.82, Education Level, -0.20, -0.15, Annual Income."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.82, -0.57, Education Level, -0.15, -0.20."
Denied,Denied,"This application was denied due to Email, Housing Type, Income Category, Employment Duration (Days), Marital Status, Work Phone, Car Ownership, Phone."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Occupation, -0.15, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Occupation, -0.15, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Occupation, -0.15, Family Size, -0.77."
Denied,Denied,"This application was denied due to Email, -1.62, Housing Type, Occupation, -0.15, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Occupation, Family Size, -0.15."
Denied,Denied,"This application was denied due to Income Category, Email, Employment Duration (Days), Housing Type, Work Phone, Car Ownership, Phone."
Denied,Denied,"This application was denied due to Income Category, Housing Type, Email, Employment Duration (Days), Work Phone, Car Ownership, Phone."
Denied,Denied,"This application was denied due to Income Category, Email, Employment Duration (Days), Housing Type, Work Phone, Phone, Car Ownership, Family Size."
Denied,Denied,"This application was denied due to Email, Housing Type, Income Category, Marital Status, Work Phone, Car Ownership, Occupation, -0.27, Phone, Age (Days), Family Size."
Denied,Denied,"This application was denied due to Email, Income Category, Housing Type, Marital Status, Work Phone, Car Ownership, Age (Days), -0.27, Phone, Occupation."
Denied,Denied,"This application was denied due to Email, Income Category, Housing Type, Marital Status, Work Phone, Car Ownership, Occupation, -0.27, Phone, Age (Days), Family Size."
Denied,Denied,"This application was denied due to Email, Income Category, Housing Type, Marital Status, Work Phone, Car Ownership, -0.27, Occupation, Phone, Age (Days)."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Housing Type, Work Phone, -0.27, -0.85."
Denied,Denied,"This application was denied due to Email, -1.62, Income Category, Housing Type, Work Phone, -0.27, -0.85, Family Size."
Denied,Denied,"This application was denied due to Email, -1.62, Income Category, Housing Type, Work Phone, -0.27, -0.85."
Denied,Denied,"This application was denied due to -1.62, Income Category, Email, Housing Type, Work Phone, -0.27, Family Size, -0.85."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Housing Type, Work Phone, -0.27, Family Size, -0.85."
Denied,Denied,"This application was denied due to Email, Housing Type, Marital Status, -0.13, Work Phone, -0.82, Car Ownership, Education Level, -0.85, Family Size."
Denied,Denied,"This application was denied due to Email, -0.13, Marital Status, Work Phone, -0.27, Car Ownership, Phone, Occupation, Education Level, Age (Days), Family Size."
Denied,Denied,"This application was denied due to Email, Housing Type, Marital Status, -0.13, -0.82, Work Phone, Car Ownership, Education Level, -0.85, Family Size."
Denied,Denied,"This application was denied due to Email, Housing Type, Marital Status, -0.13, -0.82, Work Phone, Car Ownership, Education Level, -0.85."
Denied,Denied,"This application was denied due to Email, Housing Type, -0.13, Marital Status, Work Phone, -0.82, Car Ownership, Education Level, Family Size."
Denied,Denied,"This application was denied due to -1.62, Income Category, Email, Housing Type, Work Phone, Phone, -0.15."
Denied,Denied,"This application was denied due to -1.62, Income Category, Email, Housing Type, Work Phone, Phone, -0.15, Family Size, -0.77."
Denied,Denied,"This application was denied due to Email, -1.62, Income Category, Housing Type, Work Phone, Phone, Family Size, -0.15, Annual Income."
Denied,Denied,"This application was denied due to Housing Type, -1.62, Income Category, Email, Work Phone, Phone, -0.15."
Denied,Denied,"This application was denied due to -1.62, Income Category, Email, Housing Type, Work Phone, Phone, -0.15, Annual Income."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Housing Type, Work Phone, Phone, -0.15, Annual Income, -0.77, Family Size."
Denied,Denied,"This application was denied due to -1.62, Income Category, Email, Housing Type, Work Phone, Phone, -0.15."
Denied,Denied,"This application was denied due to -1.62, Income Category, Email, Housing Type, Work Phone, Phone, -0.15, Annual Income, Family Size."
Denied,Denied,"This application was denied due to -1.62, Income Category, Email, Housing Type, Work Phone, Phone, -0.15."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Income Category, Employment Duration (Days), Work Phone, Car Ownership, Education Level, -0.15, Phone, Family Size."
Denied,Denied,"This application was denied due to Email, -1.62, Housing Type, -0.13, Work Phone, -0.57, Phone, -0.85, Occupation, -0.20."
Denied,Denied,"This application was denied due to Email, -1.62, Housing Type, Work Phone, -0.13, -0.57, Occupation, Phone, -0.20."
Denied,Denied,"This application was denied due to Email, -1.62, Housing Type, -0.13, -0.57, Work Phone, Occupation, Phone, -0.85, -0.20."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.13, Work Phone, -0.57, Occupation, Phone, -0.85."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.13, Work Phone, -0.57, Phone, Occupation, -0.85, -0.20."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.57, -0.13, Work Phone, -0.27, Occupation, Education Level, Age (Days), -0.20."
Denied,Denied,"This application was denied due to Email, -1.62, Housing Type, -0.13, Work Phone, -0.57, Occupation, -0.27, Education Level, -0.20, Age (Days)."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.13, -0.57, Work Phone, Occupation, -0.27, Education Level, Age (Days), -0.20."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.13, -0.57, Work Phone, -0.27, Education Level, Age (Days), Occupation, -0.20."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.13, -0.57, Work Phone, -0.27, Age (Days), Education Level, Occupation, -0.20."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.13, -0.57, Work Phone, -0.27, Occupation, Age (Days), Education Level, -0.20."
Denied,Denied,"This application was denied due to Email, Housing Type, Marital Status, Work Phone, -0.82, Phone, Age (Days), Education Level, Annual Income, Family Size."
Denied,Denied,"This application was denied due to Email, Housing Type, Marital Status, Work Phone, -0.82, Phone, Education Level, Age (Days), Annual Income."
Denied,Denied,"This application was denied due to Housing Type, Email, Marital Status, Work Phone, -0.82, Phone, Education Level, Family Size, Age (Days), -0.77."
Denied,Denied,"This application was denied due to Email, Housing Type, Marital Status, Work Phone, -0.82, Phone, Age (Days), Education Level, Family Size."
Denied,Denied,"This application was denied due to Email, Housing Type, Marital Status, Work Phone, -0.82, Phone, Education Level, Age (Days), Family Size."
Denied,Denied,"This application was denied due to Email, Housing Type, Marital Status, Work Phone, -0.82, Phone, Age (Days), Education Level, Annual Income, Family Size."
Denied,Denied,"This application was denied due to Housing Type, Email, Marital Status, Work Phone, -0.82, Phone, Education Level, Age (Days), Family Size."
Denied,Denied,"This application was denied due to Email, Housing Type, Marital Status, Work Phone, -0.82, Phone, Age (Days), Education Level, Annual Income."
Denied,Denied,"This application was denied due to Housing Type, Email, Marital Status, -0.82, Work Phone, Age (Days), Phone, Education Level, Family Size."
Denied,Denied,"This application was denied due to Email, Housing Type, Marital Status, -0.82, Work Phone, Phone, Education Level, Age (Days), Family Size."
Denied,Denied,"This application was denied due to Housing Type, -1.62, Employment Duration (Days), Email, Work Phone, Car Ownership, Number of Children, Phone, Age (Days), Education Level."
Denied,Denied,"This application was denied due to -1.62, Housing Type, Employment Duration (Days), Email, Work Phone, Number of Children, Car Ownership, Phone, Education Level, Age (Days)."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.13, Work Phone, -0.57, -0.27, Car Ownership, Phone, Age (Days), Education Level, -0.20."
Denied,Denied,"This application was denied due to -1.62, Housing Type, Email, -0.13, -0.57, Work Phone, Car Ownership, -0.27, Phone, Education Level, Age (Days), -0.20."
Denied,Denied,"This application was denied due to -1.62, Income Category, Housing Type, Email, Work Phone, -0.57, -0.82, Car Ownership, -0.20, Age (Days), Phone, Education Level."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.13, -0.57, Work Phone, Car Ownership, -0.27, Phone, -0.20, Education Level, Age (Days)."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Housing Type, Work Phone, -0.57, -0.82, Car Ownership, Phone, Education Level, Age (Days), -0.20."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Housing Type, Work Phone, -0.57, -0.82, Car Ownership, Phone, Age (Days), Education Level, -0.20."
Denied,Denied,"This application was denied due to -1.62, Employment Duration (Days), Income Category, Email, Housing Type, Work Phone, Car Ownership, Phone, Education Level."
Denied,Denied,"This application was denied due to -1.62, Income Category, Email, Employment Duration (Days), Housing Type, Work Phone, Car Ownership, Education Level, Phone."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Employment Duration (Days), Housing Type, Work Phone, Car Ownership, Phone, Education Level, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Employment Duration (Days), Housing Type, Work Phone, Car Ownership, Education Level, Phone, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Employment Duration (Days), Housing Type, Work Phone, Car Ownership, Phone, Education Level, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Employment Duration (Days), Income Category, Housing Type, Work Phone, Car Ownership, Phone, Education Level, Family Size."
Denied,Denied,"This application was denied due to -1.62, Housing Type, Income Category, Employment Duration (Days), Email, Work Phone, Car Ownership, Education Level, Phone, Family Size."
Denied,Denied,"This application was denied due to Income Category, -1.62, Email, Employment Duration (Days), Housing Type, Work Phone, Car Ownership, Phone, Education Level, Family Size."
Denied,Denied,"This application was denied due to -1.62, Employment Duration (Days), Income Category, Email, Housing Type, Work Phone, Car Ownership, Phone, Education Level."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Employment Duration (Days), Income Category, Work Phone, Car Ownership, Education Level, Phone."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Employment Duration (Days), Housing Type, Work Phone, Car Ownership, Phone, Education Level, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Employment Duration (Days), Income Category, Housing Type, Work Phone, Car Ownership, Education Level, Phone."
Denied,Denied,"This application was denied due to Email, -1.62, Employment Duration (Days), Income Category, Housing Type, Work Phone, Car Ownership, Phone, Education Level, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Employment Duration (Days), Income Category, Housing Type, Work Phone, Car Ownership, Phone, Education Level, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Employment Duration (Days), Housing Type, Work Phone, Car Ownership, Phone, Education Level."
Denied,Denied,"This application was denied due to -1.62, Housing Type, Income Category, Email, Employment Duration (Days), Work Phone, Car Ownership, Phone, Education Level, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Work Phone, -0.82, Car Ownership, Phone, -0.15, Family Size."
Denied,Denied,"This application was denied due to -1.62, Employment Duration (Days), Email, Income Category, Housing Type, Car Ownership, Work Phone, Phone, Education Level."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.82, Car Ownership, Work Phone, Phone, Family Size, -0.15."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.82, Work Phone, Car Ownership, Phone, -0.15."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.82, Work Phone, Car Ownership, Phone, -0.15, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Work Phone, -0.82, Car Ownership, Phone, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Work Phone, -0.82, Car Ownership, Phone, -0.15, Family Size."
Denied,Denied,"This application was denied due to Email, Housing Type, Marital Status, Work Phone, Car Ownership, Phone, -0.15."
Denied,Denied,"This application was denied due to Email, Marital Status, Work Phone, Car Ownership, Occupation, -0.27, Age (Days), Phone, Education Level, Family Size."
Denied,Denied,"This application was denied due to Email, Marital Status, -0.27, Work Phone, Car Ownership, Phone, Occupation, Age (Days), Education Level, Family Size."
Denied,Denied,"This application was denied due to Email, -1.62, Housing Type, Work Phone, -0.82, -0.57, Phone, -0.20, -0.85, Annual Income."
Denied,Denied,"This application was denied due to -1.62, Email, -0.57, Work Phone, Housing Type, -0.82, Phone, -0.20, -0.85."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Work Phone, -0.82, -0.57, Phone, -0.85, -0.20, Annual Income."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.82, Work Phone, -0.57, Phone, -0.85."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.57, Work Phone, -0.82, Phone."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Marital Status, Work Phone, Phone, Education Level, -0.85, Family Size."
Denied,Denied,"This application was denied due to Email, -1.62, Marital Status, Housing Type, Work Phone, Phone, Education Level, -0.85, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Marital Status, Work Phone, Phone, Education Level, -0.85."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Marital Status, Work Phone, Phone, Education Level, -0.85."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Marital Status, Work Phone, Phone, Education Level, -0.85, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Marital Status, Work Phone, Phone, Education Level, -0.85, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Marital Status, Housing Type, Work Phone, Education Level, Phone, -0.85."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Marital Status, Work Phone, Phone, Education Level, Family Size, -0.85."
Denied,Denied,"This application was denied due to -1.62, Housing Type, Email, Marital Status, Work Phone, Phone, Education Level, -0.85, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.57, Work Phone, Car Ownership, Phone, Occupation, -0.85, -0.20."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Employment Duration (Days), Housing Type, Work Phone, Car Ownership, Number of Children, Phone, -0.61."
Denied,Denied,"This application was denied due to Email, -1.62, Income Category, Housing Type, Employment Duration (Days), Work Phone, Number of Children, Car Ownership, Phone."
Denied,Denied,"This application was denied due to -1.62, Housing Type, Income Category, Email, Employment Duration (Days), Work Phone, Car Ownership, Number of Children, Phone."
Denied,Denied,"This application was denied due to -1.62, Income Category, Employment Duration (Days), Housing Type, Work Phone, -0.57, Phone, Occupation, Age (Days), Education Level, -0.20."
Denied,Denied,"This application was denied due to -1.62, Income Category, Employment Duration (Days), Housing Type, Work Phone, -0.57, Phone, Age (Days), Occupation, Education Level, -0.20."
Denied,Denied,"This application was denied due to -1.62, Income Category, Housing Type, Employment Duration (Days), Work Phone, -0.57, Occupation, Phone, Age (Days), Education Level."
Denied,Denied,"This application was denied due to -1.62, Income Category, Employment Duration (Days), Housing Type, -0.57, Work Phone, Education Level, Age (Days), Phone, Occupation, -0.20."
Denied,Denied,"This application was denied due to -1.62, Income Category, Employment Duration (Days), Housing Type, Work Phone, -0.57, Occupation, Phone, Age (Days), Education Level."
Denied,Denied,"This application was denied due to -1.62, Housing Type, Marital Status, Work Phone, Car Ownership, Occupation, Phone, -0.85, Education Level, Family Size."
Denied,Denied,"This application was denied due to -1.62, Housing Type, Marital Status, Work Phone, Car Ownership, Occupation, Education Level, Phone, -0.85, Family Size."
Denied,Denied,"This application was denied due to -1.62, Income Category, Employment Duration (Days), Housing Type, -0.57, Work Phone, Phone, Occupation, Age (Days), Education Level, -0.20."
Denied,Denied,"This application was denied due to -1.62, Marital Status, Housing Type, Work Phone, Car Ownership, Occupation, Education Level, Phone, -0.85, Family Size."
Denied,Denied,"This application was denied due to -1.62, Housing Type, Marital Status, Work Phone, Car Ownership, Phone, -0.85, Education Level, Occupation, Family Size."
Denied,Denied,"This application was denied due to Income Category, -0.57, Work Phone, Car Ownership, Education Level, Phone, Age (Days), -0.20."
Denied,Denied,"This application was denied due to -1.62, Housing Type, Marital Status, Work Phone, Car Ownership, Phone, Occupation, Education Level, -0.85."
Denied,Denied,"This application was denied due to -1.62, Email, Employment Duration (Days), -0.82, Housing Type, Work Phone, Car Ownership, Phone, -0.15, Annual Income, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Employment Duration (Days), Housing Type, Work Phone, -0.82, Phone, Car Ownership, -0.15, Family Size."
Denied,Denied,"This application was denied due to -1.62, Employment Duration (Days), Email, Housing Type, Work Phone, -0.82, Car Ownership, Phone, -0.15."
Denied,Denied,"This application was denied due to -1.62, Email, Employment Duration (Days), Housing Type, Work Phone, -0.82, Car Ownership, Phone, -0.15, Family Size."
Denied,Denied,"This application was denied due to -1.62, Employment Duration (Days), Email, Housing Type, -0.82, Work Phone, Car Ownership, Phone, -0.15."
Denied,Denied,"This application was denied due to -1.62, Email, Employment Duration (Days), Housing Type, Work Phone, -0.82, Car Ownership, Phone, -0.15, Family Size."
Denied,Denied,"This application was denied due to Email, -1.62, Housing Type, Employment Duration (Days), Work Phone, -0.82, Car Ownership, Phone, -0.15."
Denied,Denied,"This application was denied due to -1.62, Housing Type, Email, Employment Duration (Days), Work Phone, -0.82, Car Ownership, Phone, -0.15, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Employment Duration (Days), Housing Type, -0.82, Work Phone, Car Ownership, Phone, -0.15, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Employment Duration (Days), Housing Type, -0.82, Work Phone, Car Ownership, Phone, -0.15, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Employment Duration (Days), Housing Type, Work Phone, -0.82, Car Ownership, Phone, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Employment Duration (Days), Work Phone, Car Ownership, -0.82, Phone, -0.15."
Denied,Denied,"This application was denied due to -1.62, Email, Employment Duration (Days), Housing Type, Work Phone, -0.82, Car Ownership, Phone, -0.15."
Denied,Denied,"This application was denied due to -1.62, Email, Employment Duration (Days), Housing Type, -0.82, Work Phone, Car Ownership, Phone, -0.15, Family Size."
Denied,Denied,"This application was denied due to Email, -1.62, Employment Duration (Days), Housing Type, Car Ownership, Work Phone, -0.82, Phone, -0.15, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Employment Duration (Days), Work Phone, -0.82, Car Ownership, Phone, -0.15, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Work Phone, Car Ownership, Phone, Occupation, Education Level, -0.15."
Denied,Denied,"This application was denied due to -1.62, Employment Duration (Days), Email, Housing Type, Work Phone, -0.82, Car Ownership, Phone, -0.15, Family Size."
Denied,Denied,"This application was denied due to -1.62, Housing Type, Employment Duration (Days), Email, Work Phone, -0.82, Car Ownership, Phone, Family Size, -0.15."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Work Phone, Car Ownership, Occupation, Phone, Education Level, Family Size, -0.15."
Denied,Denied,"This application was denied due to -1.62, Housing Type, Email, Work Phone, Car Ownership, Phone, Occupation, -0.15, Education Level, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Work Phone, Car Ownership, Phone, Education Level, -0.15, Occupation, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Work Phone, Car Ownership, Phone, Occupation, Education Level, -0.15."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Work Phone, Car Ownership, Phone, Occupation, Education Level, -0.15, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Work Phone, Car Ownership, Phone, Occupation, Education Level, Family Size, -0.15."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Work Phone, Car Ownership, Occupation, Phone, -0.15, Education Level, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Work Phone, Car Ownership, Phone, Occupation, Education Level, -0.15."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Work Phone, Car Ownership, Phone, Occupation, Education Level, Family Size, -0.15."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Work Phone, Number of Children, Phone, Education Level, -0.85."
Denied,Denied,"This application was denied due to Email, -1.62, Housing Type, Work Phone, Number of Children, Phone, Education Level, -0.85."
Denied,Denied,"This application was denied due to Email, -1.62, Housing Type, Work Phone, Number of Children, Phone, Education Level, -0.85."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Work Phone, Number of Children, Phone, -0.85, Education Level, -0.77, Annual Income."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Work Phone, Phone, Education Level, Number of Children, -0.85."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.82, Car Ownership, Work Phone, -0.27, Phone, Family Size, -0.85."
Denied,Denied,"This application was denied due to -1.62, Email, Work Phone, Housing Type, -0.27, Phone, -0.85."
Denied,Denied,"This application was denied due to Email, Car Ownership, Age (Days), Family Size."
Denied,Denied,"This application was denied due to Email, Car Ownership, Age (Days), Family Size."
Denied,Denied,"This application was denied due to Email, Car Ownership, Age (Days)."
Denied,Denied,"This application was denied due to Email, Housing Type, -0.13, Work Phone, -0.82, Phone, -0.15."
Denied,Denied,"This application was denied due to Email, Housing Type, -0.13, Work Phone, -0.82, Phone, -0.15."
Denied,Denied,"This application was denied due to Email, Housing Type, -0.13, -0.82, Work Phone, Phone, -0.15."
Denied,Denied,"This application was denied due to Email, Housing Type, -0.13, -0.82, Work Phone, Phone, -0.15."
Denied,Denied,"This application was denied due to Email, Housing Type, -0.13, Work Phone, -0.82, Phone, -0.15, Family Size."
Denied,Denied,"This application was denied due to Email, Housing Type, -0.13, Work Phone, -0.82, Phone."
Denied,Denied,"This application was denied due to Email, Housing Type, -0.13, Work Phone, -0.82, Phone, -0.15, Family Size."
Denied,Denied,"This application was denied due to Email, Housing Type, -0.13, Work Phone, -0.82, Phone, -0.15."
Denied,Denied,"This application was denied due to Email, Housing Type, -0.13, -0.82, Work Phone, Phone, -0.15."
Denied,Denied,"This application was denied due to -1.62, Email, Employment Duration (Days), Work Phone, Car Ownership, Number of Children, Occupation, Phone, Education Level, -0.85."
Denied,Denied,"This application was denied due to -1.62, Employment Duration (Days), Email, Work Phone, Number of Children, Car Ownership, Occupation, Phone, -0.85, Education Level."
Denied,Denied,"This application was denied due to -1.62, Employment Duration (Days), Email, Work Phone, Car Ownership, Phone, Number of Children, Occupation, Education Level, -0.85."
Denied,Denied,"This application was denied due to -1.62, Email, Employment Duration (Days), Work Phone, Car Ownership, Occupation, Number of Children, Phone, Education Level."
Denied,Denied,"This application was denied due to -1.62, Income Category, Email, Housing Type, Work Phone, Car Ownership, Phone, Occupation, -0.15, Family Size, Annual Income."
Denied,Denied,"This application was denied due to -1.62, Housing Type, Income Category, Email, Work Phone, Car Ownership, Occupation, Phone, -0.15, Family Size."
